id,event_type,employee_id,message,details,timestamp,location_id,location_name,export_timestamp
31,clock_in,9.0,Demo User clocked in,"{""timestamp"": ""2025-07-13T23:31:02.607214"", ""time_log_id"": 60}",2025-07-14 06:31:02.641811,3,West Coast Office,2025-08-06T10:22:21.165742
32,clock_in,9.0,Demo User clocked in,"{""timestamp"": ""2025-07-13T23:31:20.141544"", ""time_log_id"": 61}",2025-07-14 06:31:20.161246,3,West Coast Office,2025-08-06T10:22:21.165742
33,clock_in,9.0,Demo User clocked in,"{""timestamp"": ""2025-07-13T23:32:09.320148"", ""time_log_id"": 62}",2025-07-14 06:32:09.336122,3,West Coast Office,2025-08-06T10:22:21.165742
34,clock_in,9.0,Demo User clocked in,"{""timestamp"": ""2025-07-14T08:18:56.367695"", ""time_log_id"": 63}",2025-07-14 15:18:56.391564,3,West Coast Office,2025-08-06T10:22:21.165742
35,clock_in,9.0,Demo User clocked in,"{""timestamp"": ""2025-07-14T08:19:07.909363"", ""time_log_id"": 64}",2025-07-14 15:19:07.938238,3,West Coast Office,2025-08-06T10:22:21.165742
36,clock_in,9.0,Demo User clocked in,"{""timestamp"": ""2025-07-14T08:19:38.936166"", ""time_log_id"": 65}",2025-07-14 15:19:38.952542,3,West Coast Office,2025-08-06T10:22:21.165742
37,clock_in,9.0,Demo User clocked in,"{""timestamp"": ""2025-07-14T08:19:49.528944"", ""time_log_id"": 66}",2025-07-14 15:19:49.549505,3,West Coast Office,2025-08-06T10:22:21.165742
38,clock_in,9.0,Demo User clocked in,"{""timestamp"": ""2025-07-14T08:21:50.197553"", ""time_log_id"": 67}",2025-07-14 15:21:50.217590,3,West Coast Office,2025-08-06T10:22:21.165742
39,clock_in,9.0,Arnav Mehta clocked in,"{""timestamp"": ""2025-07-14T08:41:01.172719"", ""time_log_id"": 68}",2025-07-14 15:41:01.189984,3,West Coast Office,2025-08-06T10:22:21.165742
40,clock_in,9.0,Arnav Mehta clocked in,"{""timestamp"": ""2025-07-14T08:41:12.361132"", ""time_log_id"": 69}",2025-07-14 15:41:12.385277,3,West Coast Office,2025-08-06T10:22:21.165742
41,clock_in,9.0,Arnav Mehta clocked in,"{""timestamp"": ""2025-07-14T08:41:25.079133"", ""time_log_id"": 70}",2025-07-14 15:41:25.095688,3,West Coast Office,2025-08-06T10:22:21.165742
42,clock_in,9.0,Arnav Mehta clocked in,"{""timestamp"": ""2025-07-14T08:42:12.147969"", ""time_log_id"": 71}",2025-07-14 15:42:12.200922,3,West Coast Office,2025-08-06T10:22:21.165742
43,clock_in,9.0,Arnav Mehta clocked in,"{""timestamp"": ""2025-07-15T10:15:35.815651"", ""time_log_id"": 36}",2025-07-15 17:15:35.837077,3,West Coast Office,2025-08-06T10:22:21.165742
44,clock_out,9.0,Arnav Mehta clocked out,"{""timestamp"": ""2025-07-15T10:17:04.543387"", ""time_log_id"": 36, ""duration_hours"": ""0.02""}",2025-07-15 17:17:04.561422,3,West Coast Office,2025-08-06T10:22:21.165742
45,clock_in,9.0,Arnav Mehta clocked in,"{""timestamp"": ""2025-07-15T10:19:45.430929"", ""time_log_id"": 36}",2025-07-15 17:19:45.452260,3,West Coast Office,2025-08-06T10:22:21.165742
46,clock_out,9.0,Arnav Mehta clocked out,"{""timestamp"": ""2025-07-15T10:19:46.605902"", ""time_log_id"": 36, ""duration_hours"": ""0.00""}",2025-07-15 17:19:46.629674,3,West Coast Office,2025-08-06T10:22:21.165742
47,clock_in,9.0,Arnav Mehta clocked in,"{""timestamp"": ""2025-07-15T10:34:52.358479"", ""time_log_id"": 36}",2025-07-15 17:34:52.402290,3,West Coast Office,2025-08-06T10:22:21.165742
48,clock_out,9.0,Arnav Mehta clocked out,"{""timestamp"": ""2025-07-15T10:34:53.764597"", ""time_log_id"": 36, ""duration_hours"": ""0.00""}",2025-07-15 17:34:53.796851,3,West Coast Office,2025-08-06T10:22:21.165742
49,clock_in,9.0,Arnav Mehta clocked in,"{""timestamp"": ""2025-07-15T10:39:09.704379"", ""time_log_id"": 36}",2025-07-15 17:39:09.751088,3,West Coast Office,2025-08-06T10:22:21.165742
50,clock_out,9.0,Arnav Mehta clocked out,"{""timestamp"": ""2025-07-15T10:39:37.031856"", ""time_log_id"": 36, ""duration_hours"": ""0.01""}",2025-07-15 17:39:37.058983,3,West Coast Office,2025-08-06T10:22:21.165742
68,clock_in,9.0,Arnav Mehta clocked in,"{""timestamp"": ""2025-08-01T11:12:18.928482"", ""time_log_id"": 71}",2025-08-01 18:12:18.939332,3,West Coast Office,2025-08-06T10:22:21.165742
69,clock_out,9.0,Arnav Mehta clocked out,"{""timestamp"": ""2025-08-01T11:12:25.017928"", ""time_log_id"": 71, ""duration_hours"": ""0.00""}",2025-08-01 18:12:25.030312,3,West Coast Office,2025-08-06T10:22:21.165742
96,employee_registered,11.0,New employee Michael Rodriguez registered successfully,"{""timestamp"": ""2025-08-04T11:57:39.028725"", ""department"": ""Engineering"", ""source"": ""new_employee_script""}",2025-08-04 18:57:39.029002,3,West Coast Office,2025-08-06T10:22:21.165742
97,clock_in,11.0,Michael Rodriguez clocked in,"{""timestamp"": ""2025-08-04T11:57:39.035750"", ""source"": ""new_employee_script""}",2025-08-04 18:57:39.036003,3,West Coast Office,2025-08-06T10:22:21.165742
98,clock_out,11.0,Michael Rodriguez clocked out,"{""timestamp"": ""2025-08-04T11:57:39.046259"", ""source"": ""new_employee_script""}",2025-08-04 18:57:39.046539,3,West Coast Office,2025-08-06T10:22:21.165742
99,clock_in,11.0,Michael Rodriguez clocked in,"{""timestamp"": ""2025-08-04T11:57:39.053407"", ""source"": ""new_employee_script""}",2025-08-04 18:57:39.053666,3,West Coast Office,2025-08-06T10:22:21.165742
100,clock_out,11.0,Michael Rodriguez clocked out,"{""timestamp"": ""2025-08-04T11:57:39.060767"", ""source"": ""new_employee_script""}",2025-08-04 18:57:39.061084,3,West Coast Office,2025-08-06T10:22:21.165742
101,clock_in,11.0,Michael Rodriguez clocked in,"{""timestamp"": ""2025-08-04T11:57:39.068241"", ""source"": ""new_employee_script""}",2025-08-04 18:57:39.068527,3,West Coast Office,2025-08-06T10:22:21.165742
102,clock_out,11.0,Michael Rodriguez clocked out,"{""timestamp"": ""2025-08-04T11:57:39.075344"", ""source"": ""new_employee_script""}",2025-08-04 18:57:39.075622,3,West Coast Office,2025-08-06T10:22:21.165742
103,clock_in,11.0,Michael Rodriguez clocked in,"{""timestamp"": ""2025-08-04T11:57:39.082538"", ""source"": ""new_employee_script""}",2025-08-04 18:57:39.082812,3,West Coast Office,2025-08-06T10:22:21.165742
104,clock_out,11.0,Michael Rodriguez clocked out,"{""timestamp"": ""2025-08-04T11:57:39.089693"", ""source"": ""new_employee_script""}",2025-08-04 18:57:39.089989,3,West Coast Office,2025-08-06T10:22:21.165742
105,clock_in,11.0,Michael Rodriguez clocked in,"{""timestamp"": ""2025-08-04T11:57:39.096775"", ""source"": ""new_employee_script""}",2025-08-04 18:57:39.097047,3,West Coast Office,2025-08-06T10:22:21.165742
106,clock_out,11.0,Michael Rodriguez clocked out,"{""timestamp"": ""2025-08-04T11:57:39.104055"", ""source"": ""new_employee_script""}",2025-08-04 18:57:39.104309,3,West Coast Office,2025-08-06T10:22:21.165742
107,employee_registered,12.0,New employee Lisa Thompson registered successfully,"{""timestamp"": ""2025-08-04T11:57:39.111142"", ""department"": ""Sales"", ""source"": ""new_employee_script""}",2025-08-04 18:57:39.111429,3,West Coast Office,2025-08-06T10:22:21.165742
108,clock_in,12.0,Lisa Thompson clocked in,"{""timestamp"": ""2025-08-04T11:57:39.118522"", ""source"": ""new_employee_script""}",2025-08-04 18:57:39.118785,3,West Coast Office,2025-08-06T10:22:21.165742
109,clock_out,12.0,Lisa Thompson clocked out,"{""timestamp"": ""2025-08-04T11:57:39.125787"", ""source"": ""new_employee_script""}",2025-08-04 18:57:39.126084,3,West Coast Office,2025-08-06T10:22:21.165742
110,clock_in,12.0,Lisa Thompson clocked in,"{""timestamp"": ""2025-08-04T11:57:39.133144"", ""source"": ""new_employee_script""}",2025-08-04 18:57:39.133397,3,West Coast Office,2025-08-06T10:22:21.165742
