id,event_type,employee_id,message,details,timestamp,location_id,location_name,export_timestamp
83,employee_registered,10.0,New employee Sarah Chen registered successfully,"{""timestamp"": ""2025-08-04T11:57:38.933332"", ""department"": ""Marketing"", ""source"": ""new_employee_script""}",2025-08-04 18:57:38.934146,1,Main Office,2025-08-06T10:22:21.152541
84,clock_in,10.0,Sarah Chen clocked in,"{""timestamp"": ""2025-08-04T11:57:38.941219"", ""source"": ""new_employee_script""}",2025-08-04 18:57:38.941496,1,Main Office,2025-08-06T10:22:21.152541
85,clock_out,10.0,Sarah Chen clocked out,"{""timestamp"": ""2025-08-04T11:57:38.948538"", ""source"": ""new_employee_script""}",2025-08-04 18:57:38.948810,1,Main Office,2025-08-06T10:22:21.152541
86,clock_in,10.0,Sarah Chen clocked in,"{""timestamp"": ""2025-08-04T11:57:38.955654"", ""source"": ""new_employee_script""}",2025-08-04 18:57:38.955939,1,Main Office,2025-08-06T10:22:21.152541
87,clock_out,10.0,Sarah Chen clocked out,"{""timestamp"": ""2025-08-04T11:57:38.962855"", ""source"": ""new_employee_script""}",2025-08-04 18:57:38.963139,1,Main Office,2025-08-06T10:22:21.152541
88,clock_in,10.0,Sarah Chen clocked in,"{""timestamp"": ""2025-08-04T11:57:38.970184"", ""source"": ""new_employee_script""}",2025-08-04 18:57:38.970439,1,Main Office,2025-08-06T10:22:21.152541
89,clock_out,10.0,Sarah Chen clocked out,"{""timestamp"": ""2025-08-04T11:57:38.977495"", ""source"": ""new_employee_script""}",2025-08-04 18:57:38.977821,1,Main Office,2025-08-06T10:22:21.152541
90,clock_in,10.0,Sarah Chen clocked in,"{""timestamp"": ""2025-08-04T11:57:38.984717"", ""source"": ""new_employee_script""}",2025-08-04 18:57:38.984964,1,Main Office,2025-08-06T10:22:21.152541
91,clock_out,10.0,Sarah Chen clocked out,"{""timestamp"": ""2025-08-04T11:57:38.991840"", ""source"": ""new_employee_script""}",2025-08-04 18:57:38.992124,1,Main Office,2025-08-06T10:22:21.152541
92,clock_in,10.0,Sarah Chen clocked in,"{""timestamp"": ""2025-08-04T11:57:38.999340"", ""source"": ""new_employee_script""}",2025-08-04 18:57:38.999608,1,Main Office,2025-08-06T10:22:21.152541
